Med	Gen	Rep	Perm	FY
5	7	3	27	6.12
5	7	4	28	2.65
5	8	1	29	4.23
5	8	2	30	1.24
5	8	3	31	1.64
5	8	4	32	1.29
5	9	1	33	0.54
5	9	2	34	0.08
5	9	3	35	0.19
5	9	4	36	0.58
5	10	1	37	1.96
5	10	2	38	2.62
5	10	3	39	3.48
5	10	4	40	1.8
5	11	1	41	8.34
5	11	2	42	7.84
5	11	3	43	8.32
5	11	4	44	10.89
5	12	1	45	1.64
5	12	2	46	1.03
5	12	3	47	2.21
5	12	4	48	1.22
5	13	1	49	4.11
5	13	2	50	2.94
5	13	3	51	4.5
5	13	4	52	7.22
5	14	1	53	7.53
5	14	2	54	6.17
5	14	3	55	6.25
5	14	4	56	4.19
5	15	1	57	5.85
5	15	2	58	10.86
5	15	3	59	7.34
5	15	4	60	10.5
5	16	1	61	7.51
5	16	2	62	4.32
5	16	3	63	6.3
5	16	4	64	4.93
5	17	1	65	0.38
5	17	2	66	8.03
5	17	3	67	4.22
5	17	4	68	4.19
5	18	1	69	0.68
5	18	2	70	6.75
5	18	3	71	2.32
5	18	4	72	9.03
5	19	1	73	4.31
5	19	2	74	5.7
5	19	3	75	6.85
5	19	4	76	8.19
5	20	1	77	2.95
5	20	2	78	1.84
5	20	3	79	2.5
5	20	4	80	2.42
5	21	1	81	1.27
5	21	2	82	0.18
5	21	3	83	0.65
5	21	4	84	1.08
5	22	1	85	3.87
5	22	2	86	1.38
5	22	3	87	10.11
5	22	4	88	7.72
5	23	1	89	3.75
5	23	2	90	3.29
5	23	3	91	4.64
5	23	4	92	3.66
5	24	1	93	6.01
5	24	2	94	1.63
5	24	3	95	2.89
5	24	4	96	3.91
6	1	1	1	2.9
6	1	2	2	7.5
6	1	3	3	6.3
6	1	4	4	5.14
6	2	1	5	3.63
6	2	2	6	5.43
6	2	3	7	4.63
6	2	4	8	3.37
6	3	1	9	4.85
6	3	2	10	6.9
6	3	3	11	10.95
6	3	4	12	4.17
6	4	1	13	5.53
6	4	2	14	4.53
6	4	3	15	10.95
6	4	4	16	3.95
6	5	1	17	6.4
6	5	2	18	2.3
6	5	3	19	3.65
6	5	4	20	3.9
6	6	1	21	5.9
6	6	2	22	3.47
6	6	3	23	4.63
6	6	4	24	3.08
6	7	1	25	4.24
6	7	2	26	6.23
6	7	3	27	8.39
6	7	4	28	8.39
6	8	1	29	5.63
6	8	2	30	3.85
6	8	3	31	5.7
6	8	4	32	3.43
6	9	1	33	0.85
6	9	2	34	1.43
6	9	3	35	0.16
6	9	4	36	0.83
6	10	1	37	2.48
6	10	2	38	2.52
6	10	3	39	4.77
6	10	4	40	1.45
6	11	1	41	5.87
6	11	2	42	6.9
6	11	3	43	9.42
6	11	4	44	12.65
6	12	1	45	2.22
6	12	2	46	2.69
6	12	3	47	2.98
6	12	4	48	1.97
6	13	1	49	3.95
6	13	2	50	5.3
6	13	3	51	7.3
6	13	4	52	5.25
6	14	1	53	2.07
6	14	2	54	7.17
6	14	3	55	10.93
6	14	4	56	4.37
6	15	1	57	11.05
6	15	2	58	8.93
6	15	3	59	5.83
6	15	4	60	8.17
6	16	1	61	8.17
6	16	2	62	5.63
6	16	3	63	7.57
6	16	4	64	3.55
6	17	1	65	2.45
6	17	2	66	9.05
6	17	3	67	8.95
6	17	4	68	11.15
6	18	1	69	8.78
6	18	2	70	8.55
6	18	3	71	8.13
6	18	4	72	8.78
6	19	1	73	6.37
6	19	2	74	3.8
6	19	3	75	7.47
6	19	4	76	7.88
6	20	1	77	6.6
6	20	2	78	10.8
6	20	3	79	5.28
6	20	4	80	NA
6	21	1	81	0.67
6	21	2	82	0.59
6	21	3	83	1.15
6	21	4	84	0.88
6	22	1	85	8.63
6	22	2	86	9.47
6	22	3	87	5.63
6	22	4	88	8.25
6	23	1	89	9.66
6	23	2	90	10.43
6	23	3	91	8.28
6	23	4	92	8.43
6	24	1	93	1.82
6	24	2	94	3.17
6	24	3	95	3.38
6	24	4	96	7.3
7	1	1	1	10.76
7	1	2	2	3.76
7	1	3	3	10.23
7	1	4	4	5.49
7	2	1	5	9.74
7	2	2	6	8.49
7	2	3	7	10.43
7	2	4	8	6.63
7	3	1	9	15.08
7	3	2	10	3.03
7	3	3	11	6.76
7	3	4	12	4.63
7	4	1	13	11.96
7	4	2	14	11.49
7	4	3	15	12.16
7	4	4	16	9.83
7	5	1	17	4.94
7	5	2	18	1.03
7	5	3	19	6.54
7	5	4	20	1.23
7	6	1	21	0.8
7	6	2	22	4.28
7	6	3	23	2.96
7	6	4	24	2.94
7	7	1	25	3.43
7	7	2	26	12.09
7	7	3	27	10.79
7	7	4	28	4.29
7	8	1	29	5.96
7	8	2	30	NA
7	8	3	31	1.76
7	8	4	32	0.96
7	9	1	33	0.28
7	9	2	34	2.49
7	9	3	35	NA
7	9	4	36	0.08
7	10	1	37	2.83
7	10	2	38	12.69
7	10	3	39	4.49
7	10	4	40	0.49
7	11	1	41	2.03
7	11	2	42	11.36
7	11	3	43	3.03
7	11	4	44	5.36
7	12	1	45	0.96
7	12	2	46	2.23
7	12	3	47	0.76
7	12	4	48	0.08
7	13	1	49	12.69
7	13	2	50	8.63
7	13	3	51	14.29
7	13	4	52	5.49
7	14	1	53	11.03
7	14	2	54	12.16
7	14	3	55	8.69
7	14	4	56	6.56
7	15	1	57	7.83
7	15	2	58	6.63
7	15	3	59	19.14
7	15	4	60	7.96
7	16	1	61	11.96
7	16	2	62	11.49
7	16	3	63	6.69
7	16	4	64	2.73
7	17	1	65	3.04
7	17	2	66	2.84
7	17	3	67	1.83
7	17	4	68	4.43
7	18	1	69	8.43
7	18	2	70	8.88
7	18	3	71	7.23
7	18	4	72	5.09
7	19	1	73	5.93
7	19	2	74	8.29
7	19	3	75	6.76
7	19	4	76	11.96
7	20	1	77	1.76
7	20	2	78	3.56
7	20	3	79	0.69
7	20	4	80	0.33
7	21	1	81	NA
7	21	2	82	NA
7	21	3	83	NA
7	21	4	84	NA
7	22	1	85	11.56
7	22	2	86	11.93
7	22	3	87	7.49
7	22	4	88	7.89
7	23	1	89	9.33
7	23	2	90	8.03
7	23	3	91	8.09
7	23	4	92	6.34
7	24	1	93	1.6
7	24	2	94	3.49
7	24	3	95	3.44
7	24	4	96	1.83
8	1	1	1	15.52
8	1	2	2	12.65
8	1	3	3	11.39
8	1	4	4	13.32
8	2	1	5	13.05
8	2	2	6	17.12
8	2	3	7	7.25
8	2	4	8	14.65
8	3	1	9	11.72
8	3	2	10	3.32
8	3	3	11	14.92
8	3	4	12	2.65
8	4	1	13	16.85
8	4	2	14	14.12
8	4	3	15	23.65
8	4	4	16	11.52
8	5	1	17	1.99
8	5	2	18	4.59
8	5	3	19	3.22
8	5	4	20	1.99
8	6	1	21	1.65
8	6	2	22	0.92
8	6	3	23	5.05
8	6	4	24	3.52
8	7	1	25	6.05
8	7	2	26	8.12
8	7	3	27	7.12
8	7	4	28	7.72
8	8	1	29	7.65
8	8	2	30	1.09
8	8	3	31	2.45
8	8	4	32	0.39
8	9	1	33	0.72
8	9	2	34	0.29
8	9	3	35	0.59
8	9	4	36	NA
8	10	1	37	7.45
8	10	2	38	7.79
8	10	3	39	10.19
8	10	4	40	5.25
8	11	1	41	10.92
8	11	2	42	9.65
8	11	3	43	8.52
8	11	4	44	13.05
8	12	1	45	11.99
8	12	2	46	3.79
8	12	3	47	8.05
8	12	4	48	5.99
8	13	1	49	11.06
8	13	2	50	6.12
8	13	3	51	7.52
8	13	4	52	0.19
8	14	1	53	11.45
8	14	2	54	7.99
8	14	3	55	9.59
8	14	4	56	0.36
8	15	1	57	23.19
8	15	2	58	5.72
8	15	3	59	11.92
8	15	4	60	0.19
8	16	1	61	10.45
8	16	2	62	12.05
8	16	3	63	8.52
8	16	4	64	0.63
8	17	1	65	2.05
8	17	2	66	1.45
8	17	3	67	4.05
8	17	4	68	0.15
8	18	1	69	10.45
8	18	2	70	1.65
8	18	3	71	NA
8	18	4	72	1.05
8	19	1	73	12.12
8	19	2	74	6.52
8	19	3	75	7.25
8	19	4	76	0.19
8	20	1	77	1.79
8	20	2	78	2.32
8	20	3	79	8.65
